,PIGD,UPO_part2_tot,UPO_part3_tot,UPO27,UPO15,UPO_part4_tot,STROOPW,MMSE_tot,IQCODE_mean,STROOPC,MCI_15SD_MDScriteria,madrs10,madrs_tot,npi8hi,pdss02,pdss_tot,epwo6,URINDYS,CONSTIPAT,PressStand_Dia,SEON,fss2,fss_sum,fss5,sf36pf,sf36pcs,PHYFUN,HYON
MCI_15SD_MDScriteria,-0.2678930320688883,0.39650424551368274,0.6023855767588439,0.5224615687207621,0.533833632424265,-0.0007816043192755095,-0.7116130242632899,-0.7907733066551353,0.7331878752937603,-0.7320696198888048,1.0,0.1406459450571172,0.23281089758456935,0.18724756082029795,0.03094076120028665,0.05942855591089779,0.18809739880841936,0.2151461336373068,0.3602535415662319,-0.2415753199958659,-0.6930348284901264,0.03658119842744109,0.016275413292995568,0.015123575582158252,-0.29971194960805686,-0.16209046281504513,-0.30700894586215893,0.5757635396729988
madrs10,-0.09853300563668527,0.1395990364616194,0.23995525151024275,0.25955814914380254,0.22105404650292473,0.25482755966839904,-0.06460063266490391,-0.1728442045523367,0.11173207568020939,-0.03315271505556829,0.1406459450571172,1.0,0.49115127215483584,0.1117772985549994,-0.18727920432204168,-0.3287882642013774,0.3110954701873713,0.11302975833351825,0.1348597683573342,-0.10485706538855158,-0.3186756566744997,0.1702977175836463,0.18689880914882967,0.23066846797554505,-0.09719205628395823,-0.09349836921647121,-0.09674662213773577,0.2792878827798241
madrs_tot,-0.12820383216593026,0.31426566769360575,0.363694906057642,0.2574503469108407,0.28910469538638667,0.3082865145181135,-0.19289054295856872,-0.2610538277972273,0.2922429893212256,-0.21282861034190004,0.23281089758456935,0.49115127215483584,1.0,0.12694971117673942,-0.28596982069145677,-0.4891679275174286,0.32185655737079416,0.2028987476206603,0.24614459387174828,-0.07957243662437596,-0.40896498973745177,0.26223569600714236,0.4070813948899315,0.3624742658125869,-0.3862591690134266,-0.3820453923781545,-0.3891430519377681,0.3706262612180456
npi8hi,-0.05689248789016515,0.056947142665761036,0.13122755536926178,0.07489912155902965,0.11351290672241492,0.04501536620310236,-0.15259769714995844,-0.17517320749267826,0.35827214908014676,-0.15372463245676915,0.18724756082029795,0.1117772985549994,0.12694971117673942,1.0,0.022239932851434798,-0.031211870941089535,0.29692950320550077,0.15298847063165624,0.17106165335291057,-0.017932882600149514,-0.1633806382058018,-0.01142391072448417,-0.02804321416512866,-0.003511744117922975,-0.07417892774065167,-0.010308712675928946,-0.0688334515016947,0.12718961584222457
pdss02,0.027434333874647474,-0.07313341438487182,-0.0640792114618911,-0.019931282844571754,-0.09227889118635678,-0.1641509876242883,-0.028661189952791134,-0.03900857307666798,0.04481883511800835,-0.029127445362884547,0.03094076120028665,-0.18727920432204168,-0.28596982069145677,0.022239932851434798,1.0,0.48346018118273987,-0.011311719787479446,-0.06961946370132219,-0.1356920188988631,0.1256341570958733,0.13303138002323933,-0.17650170609169716,-0.20168072671659343,-0.21465425022091275,0.09302311268396513,0.15965489961374615,0.09197441093851623,-0.14768042233101256
pdss_tot,0.14612982366112584,-0.10628419957111937,-0.05656137330868759,-0.07297904523960716,-0.12385029366711216,-0.4817351360530477,-0.04110254554101095,-0.10089017897918291,0.020003878304487764,-0.051189647549764135,0.05942855591089779,-0.3287882642013774,-0.4891679275174286,-0.031211870941089535,0.48346018118273987,1.0,-0.2670539266744404,-0.21111033016653408,-0.11860244283210639,0.05264229572197288,0.13374771131624805,-0.31548704842637065,-0.3761788589000532,-0.4050344607529605,0.259102255019419,0.38350778947953895,0.26465301052626516,-0.11895733468691067
epwo6,-0.12178162338370067,0.12371570620064504,0.21360977533035333,0.15389586511137207,0.14408688826919053,0.1467541298960904,-0.16382331178809914,-0.195669013189003,0.19139878682695238,-0.1481424053033938,0.18809739880841936,0.3110954701873713,0.32185655737079416,0.29692950320550077,-0.011311719787479446,-0.2670539266744404,1.0,0.19186699648867103,-0.028698695546882407,-0.1305227741461493,-0.2411941934104683,-0.0006938405461517726,-0.025641810239266156,-0.04184638074014227,-0.05187067133838583,-0.036607925099648206,-0.046590629458216,0.1929250487365389
URINDYS,-0.3341943274013733,0.20066967830931476,0.2896107304332381,0.30821000997446785,0.35518726948253837,0.09614368514640648,-0.25340635247558857,-0.15041278552426346,0.25850129332890837,-0.20845933583167453,0.2151461336373068,0.11302975833351825,0.2028987476206603,0.15298847063165624,-0.06961946370132219,-0.21111033016653408,0.19186699648867103,1.0,0.17040621445425075,-0.21427571187382638,-0.3487507147583879,0.20731090487270792,0.2424476836398801,0.3141364922385888,-0.3891576852058187,-0.3531405068576936,-0.394037884652514,0.3482990584557413
CONSTIPAT,-0.19581514910016265,0.2410354845997897,0.3497935529831374,0.242172707903512,0.21378160356429965,0.0574154692512222,-0.2620812581640167,-0.2913596966349444,0.2993705229928644,-0.3113451203532718,0.3602535415662319,0.1348597683573342,0.24614459387174828,0.17106165335291057,-0.1356920188988631,-0.11860244283210639,-0.028698695546882407,0.17040621445425075,1.0,-0.2005479118604828,-0.3584096127518767,0.09351767717784788,0.09001027473346614,0.06787276058414794,-0.24985859789016107,-0.2068660013579864,-0.2564865447074677,0.3775783505631664
PressStand_Dia,0.17112161419060798,-0.0972903191031573,-0.1755244194475844,-0.14158429121449248,-0.13654161051028554,-0.18668218047265173,0.2637587260510183,0.2290064381291017,-0.16020941341542036,0.24018490261262088,-0.2415753199958659,-0.10485706538855158,-0.07957243662437596,-0.017932882600149514,0.1256341570958733,0.05264229572197288,-0.1305227741461493,-0.21427571187382638,-0.2005479118604828,1.0,0.2054800035761075,-0.12152631807441266,-0.09219265605858801,-0.1904243978744695,0.23460979508660562,0.22092882733006194,0.22672919312315074,-0.22939396463905207
